City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Georgetown,MY,5.4112,100.3354,78.89,90,20,3.44,few clouds
80,East London,ZA,-33.0153,27.9116,67.14,82,20,17.27,light rain
81,Aksu,CN,41.1231,80.2644,60.96,20,72,2.53,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,86,100,18.41,overcast clouds
83,Chimore,BO,-16.9833,-65.1333,92.73,37,94,3.2,overcast clouds
84,Nazret,ET,8.55,39.2667,73.94,28,0,15.12,clear sky
85,Port Alfred,ZA,-33.5906,26.891,66.18,89,97,5.99,overcast clouds
86,Constantine,DZ,36.365,6.6147,87.21,32,20,8.05,few clouds
87,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,4.0,light rain
88,Disna,BY,55.568,28.1971,53.6,64,100,15.82,overcast clouds
89,Castro,BR,-24.7911,-50.0119,62.92,89,99,1.99,overcast clouds
90,Selikhino,RU,50.3672,137.4996,38.03,73,73,3.6,broken clouds
91,Baglung,NP,28.2719,83.5898,60.57,76,0,5.28,clear sky
92,Corner Brook,CA,48.9667,-57.9484,46.56,76,100,4.43,overcast clouds
93,Ahipara,NZ,-35.1667,173.1667,52.84,91,55,3.27,broken clouds
94,San Jose,US,37.3394,-121.895,62.74,74,75,6.91,broken clouds
95,Barrow,US,71.2906,-156.7887,28.42,74,100,18.41,overcast clouds
96,Ponta Do Sol,PT,32.6667,-17.1,78.01,63,7,4.88,clear sky
97,San Rafael,AR,-34.6177,-68.3301,71.58,24,24,8.95,few clouds
98,Tuatapere,NZ,-46.1333,167.6833,45.27,87,47,4.29,scattered clouds
99,Kudahuvadhoo,MV,2.6708,72.8944,81.54,76,100,17.63,overcast clouds
100,Chokurdakh,RU,70.6333,147.9167,13.53,90,99,10.54,overcast clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,72.61,72,48,10.78,scattered clouds
102,Vardo,NO,70.3705,31.1107,44.58,87,75,12.66,broken clouds
103,Tiksi,RU,71.6872,128.8694,19.24,89,91,16.06,overcast clouds
104,Salina,US,38.8403,-97.6114,52.02,78,0,4.61,clear sky
105,Padang,ID,-0.9492,100.3543,75.25,91,100,3.62,moderate rain
106,Torbay,CA,47.6666,-52.7314,54.57,84,75,8.05,broken clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,61,20,16.11,few clouds
108,Venezuela,VE,8.0,-66.0,87.57,59,74,12.48,broken clouds
109,Fort Nelson,CA,58.8053,-122.7002,27.99,86,20,5.75,few clouds
110,Fort-Shevchenko,KZ,44.5086,50.263,54.45,53,100,18.59,overcast clouds
111,Port Elizabeth,ZA,-33.918,25.5701,80.1,87,0,14.97,clear sky
112,Warrington,GB,53.3925,-2.5802,57.87,69,20,0.0,few clouds
113,Iquitos,PE,-3.7481,-73.2472,77.04,94,100,3.44,overcast clouds
114,Hilo,US,19.7297,-155.09,80.28,95,100,5.75,light rain
115,Leningradskiy,RU,69.3833,178.4167,15.03,94,99,6.42,overcast clouds
116,Manakara,MG,-22.1333,48.0167,72.66,74,0,12.1,clear sky
117,Hongjiang,CN,27.11,109.9956,64.99,57,2,3.11,clear sky
118,Puerto Ayora,EC,-0.7393,-90.3518,69.76,88,96,5.99,overcast clouds
119,Luderitz,NA,-26.6481,15.1594,64.44,78,5,11.99,clear sky
120,Mehran,IR,33.1222,46.1646,88.83,14,99,6.08,overcast clouds
121,Tura,IN,25.5198,90.2201,70.68,94,7,4.05,clear sky
122,Matay,EG,28.419,30.7792,83.7,26,0,13.04,clear sky
123,Mataura,NZ,-46.1927,168.8643,46.2,87,99,3.02,overcast clouds
124,Brewster,US,41.3973,-73.6171,59.27,72,0,0.0,clear sky
125,Chuy,UY,-33.6971,-53.4616,63.79,87,83,9.24,broken clouds
126,Severo-Kurilsk,RU,50.6789,156.125,40.82,68,43,3.6,scattered clouds
127,Ormara,PK,25.2088,64.6357,81.39,69,0,9.46,clear sky
