City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nguru,NG,2022-10-14 22:27:18,12.8791,10.4526,83.71,16,89,8.59
68,Lebu,CL,2022-10-14 22:28:34,-37.6167,-73.65,53.31,78,2,22.32
69,Georgetown,MY,2022-10-14 22:28:35,5.4112,100.3354,79.23,90,40,3.44
70,Yellowknife,CA,2022-10-14 22:28:35,62.456,-114.3525,36.12,51,75,24.16
71,Khatanga,RU,2022-10-14 22:28:35,71.9667,102.5,31.53,97,100,16.55
72,Necochea,AR,2022-10-14 22:28:36,-38.5473,-58.7368,48.15,54,2,14.45
73,Morros,BR,2022-10-14 22:28:37,-9.4467,-46.3003,90.01,22,92,2.06
74,Mogadishu,SO,2022-10-14 22:25:01,2.0371,45.3438,77.11,84,95,12.28
75,Isangel,VU,2022-10-14 22:28:37,-19.55,169.2667,78.91,57,61,9.22
76,Yulara,AU,2022-10-14 22:28:38,-25.2406,130.9889,64.24,39,40,18.41
77,Prieska,ZA,2022-10-14 22:28:38,-29.6641,22.7474,73.72,13,75,4.29
78,Trairi,BR,2022-10-14 22:28:38,-3.2778,-39.2689,78.85,79,20,10.92
79,Ballina,AU,2022-10-14 22:28:39,-28.8667,153.5667,70.02,68,12,12.41
80,Iqaluit,CA,2022-10-14 22:28:39,63.7506,-68.5145,29.93,92,75,8.05
81,Moron,AR,2022-10-14 22:28:40,-34.6534,-58.6198,58.01,59,47,10.98
82,Leh,IN,2022-10-14 22:28:40,34.1667,77.5833,39.58,38,4,5.39
83,Chambas,CU,2022-10-14 22:28:41,22.1928,-78.9136,80.47,81,89,0.58
84,Ribeira Grande,PT,2022-10-14 22:28:41,38.5167,-28.7,68.77,79,79,11.01
85,Chuy,UY,2022-10-14 22:28:42,-33.6971,-53.4616,52.72,65,26,9.01
86,San Cristobal,VE,2022-10-14 22:28:42,7.7669,-72.225,74.21,77,97,2.68
87,Waipawa,NZ,2022-10-14 22:28:42,-41.4122,175.5153,50.34,70,100,9.57
88,Havre-Saint-Pierre,CA,2022-10-14 22:29:43,50.2334,-63.5986,50.36,93,100,13.8
89,Victoria,HK,2022-10-14 22:28:22,22.2855,114.1577,77.38,62,26,11.01
90,Solnechnyy,RU,2022-10-14 22:29:43,50.7214,136.6319,40.84,85,100,1.86
91,San Diego,US,2022-10-14 22:27:09,32.7153,-117.1573,72.68,81,100,10.36
92,Ossora,RU,2022-10-14 22:29:44,59.2353,163.0719,36.1,78,100,2.42
93,Hami,CN,2022-10-14 22:29:44,42.8,93.45,51.22,40,0,6.49
